t,m_dot,Pp,N,alpha
0.0,6.4579735913863985,6799.156531500108,39500,0.4
0.1,6.421150901010519,6779.647307386459,39500,0.4
0.2,6.405468063707543,6781.644854226295,39500,0.4
0.30000000000000004,6.429523526259106,6787.029917918681,39500,0.4
0.4,6.4303379472394155,6771.6235524137755,39500,0.4
0.5,6.453121765064789,6789.540096156463,39500,0.4
0.6000000000000001,6.442640238478272,6796.927058596424,39500,0.4
0.7000000000000001,6.43307543474297,6790.181734102147,39500,0.4
0.8,6.4552040713843715,6771.363420225387,39500,0.4
0.9,6.402162752473523,6786.014302923878,39500,0.4
1.0,6.413143187258143,6794.493391289544,40500,0.5
1.1,6.502886119424594,6158.347270046374,40500,0.5
1.2000000000000002,6.605571729689291,6199.833264630284,40500,0.5
1.3,6.6746272646853715,6252.043119775563,40500,0.5
1.4000000000000001,6.799425456408375,6277.537601827826,40500,0.5
1.5,6.863449538606488,6309.546528028884,40500,0.5
1.6,6.915928235635294,6353.613082802346,40500,0.5
1.7000000000000002,6.998761962778586,6368.296142826407,40500,0.5
1.8,7.095425604531691,6397.758858396401,40500,0.5
1.9000000000000001,7.172929374520636,6444.643810056372,40500,0.5
2.0,7.259650065365007,6440.670874081913,40500,0.5
2.1,7.338078390008105,6459.018845291774,40500,0.5
2.2,7.344712111298628,6494.380578562081,40500,0.5
2.3000000000000003,7.37040677543381,6516.537542277673,40500,0.5
2.4000000000000004,7.398503076694749,6527.866428099893,40500,0.5
2.5,7.4945840898350635,6542.735192380377,40500,0.5
2.6,7.5182945875584135,6595.026643654692,40500,0.5
2.7,7.568915920396246,6593.044789813938,40500,0.5
2.8000000000000003,7.60511504465551,6599.347064208067,40500,0.5
2.9000000000000004,7.652234298810208,6631.761525717098,40500,0.5
3.0,7.711721503910579,6641.093951502031,39500,0.4
3.1,7.601693267649719,7500.296722324115,39500,0.4
3.2,7.5075198409174995,7450.580126536792,39500,0.4
3.3000000000000003,7.407108161244287,7377.896307352694,39500,0.4
3.4000000000000004,7.319772067566809,7346.326698049429,39500,0.4
3.5,7.274946828902914,7317.421847272951,39500,0.4
3.6,7.221673207952787,7263.164108836623,39500,0.4
3.7,7.202851940386814,7219.668404029475,39500,0.4
3.8000000000000003,7.1215119269520235,7188.005824949329,39500,0.4
3.9000000000000004,7.096642932411666,7163.337990540104,39500,0.4
4.0,7.031752547150349,7143.984435846662,40500,0.4
4.1000000000000005,6.986843403624173,7124.363539012946,40500,0.4
4.2,6.961298406561822,7119.12042966893,40500,0.4
4.3,6.940020380298979,7076.819009857374,40500,0.4
4.4,6.974884152950891,7089.342961738488,40500,0.4
4.5,6.895303422371233,7064.51521354216,40500,0.4
4.6000000000000005,6.908739943536601,7060.199350484479,40500,0.4
4.7,6.856258175311697,7034.587375069897,40500,0.4
4.800000000000001,6.877402294447896,7049.880534095223,40500,0.4
4.9,6.852243563001404,7040.607223806638,40500,0.4
5.0,6.827824937229959,7002.217472381747,40500,0.5
5.1000000000000005,6.906227757531017,6305.4427363339855,40500,0.5
5.2,6.965900354787506,6356.740735790553,40500,0.5
5.300000000000001,7.057409049496051,6379.608261737517,40500,0.5
5.4,7.107333368712285,6386.104661318954,40500,0.5
5.5,7.154812457409642,6426.836686826797,40500,0.5
